br_id;brand;art;orgnl;orgnl_id;name;cross;quant;price
01-00064630;MSG;01-01-128;"CADILLAC ; FIAT ; OPEL ; SAAB";"755046-0001 ; 755046-0002 ; 755046-0003 ; 762660-0001 ; 762660-0002 ; 766340-0001 ; 773720-0001";"Картридж турбины (отбалансированный) GARRETT GT1749MV CADILLAC BLS 06-;FIAT CROMA (194) 05-";1000-010-272;1;6 423,00
01-00063954;MSG;01-01-038;"AUDI ; FORD ; SEAT ; SKODA ; VW";"758219-0002 ; 758219-0004 ; 758219-0003";Картридж турбины (отбалансированный) GARRETT GT1749V AUDI A4 (8D2, B5) 95-00,A4 (8E2, B6) 00-04,A4 (;"GT17-002 ; 1000-010-037";1;6 924,00
01-00064635;MSG;01-01-133;BMW;"767378-0005 ; 767378-0006 ; 767378-0007 ; 767378-0008 ; 767378-0009 ; 767378-0010 ; 767378-0013 ; 767378-0014";Картридж турбины (отбалансированный) GARRETT GT1749V BMW 1 (E81) 06-12,1 (E87) 03-12,1 кабрио (E88);1000-010-280;1;7 483,00
01-00063928;MSG;01-01-012;"FIAT ; OPEL ; RENAULT ; RENAULT TRUCKS";"454061-0003 ; 454061-0004 ; 454061-0006 ; 454061-0007 ; 454061-0008 ; 454061-0009 ; 454061-0010 ; 454061-0011 ; 454061-0012 ; 454061-0014 ; 454061-0001 ; 99460981 ; 500385898 ; 7701044612 ; GT15-013";Картридж турбины (отбалансированный) GARRETT GT1752H FIAT DUCATO c бортовой платформой/ходовая часть;"1000-010-161 ; GT15-013";6;7 064,00
01-00063931;MSG;01-01-015;"AUDI ; SKODA ; VW";"454135-0001 ; 454135-0006 ; 454135-0002 ; 454135-0011 ; 454135-0010 ; 454135-0009 ; VAG ; GT15-017";Картридж турбины (отбалансированный) GARRETT GT2052V AUDI A4 (8D2, B5) 97-00,A4 (8E2, B6) 00-04,A4 (;"1000-010-104 ; GT15-017";1;7 314,00
01-00063980;MSG;01-01-064;"FORD ; LAND ROVER";"752410-0015 ; 752410-0020 ; 752410-0024 ; 752410-0009 ; 752410-0025 ; 752410-0029 ; 752410-0032 ; 752410-0010 ; 752410-0012 ; 752610-0009 ; 752610-0010 ; 752610-0012 ; 752610-0015 ; 752610-0025 ; 752610-0032 ; 752610-0029 ; 752610-0026 ; 6C1Q6K682EH ; 6C1Q6K682EJ ; 6C1Q6K682EM ; 6C1Q6K682EE ; 6C1Q6K682FA ; 1435057 ; LR012858";Картридж турбины (отбалансированный) GARRETT GT2052V FORD TRANSIT c бортовой платформой/ходовая част;"1000-010-168 ; GT20-033";2;7 962,00
01-00063959;MSG;01-01-043;FORD;"753519-0009 ; 753519-0008 ; 753519-0007 ; 6C1Q6K682BE ; 6C1Q6K682BD ; 6C1Q6K682BC";Картридж турбины (отбалансированный) GARRETT GTA1749V FORD TRANSIT c бортовой платформой/ходовая час;"1000-010-311 ; GT17-016";3;6 660,00
01-00063970;MSG;01-01-054;VW;"760699-0003 ; 760699-0002 ; 760699-0004 ; 070145701N ; 070145701NV210 ; 070145701NV204";Картридж турбины (отбалансированный) GARRETT GTB1752V VW MULTIVAN V (7HM, 7HN, 7HF, 7EF, 7EM, 7EN) 0;"1000-010-354 ; GT17-045";3;8 445,00
01-00086971;MSG;01-02-003;;"3777058 ; 4309437 ; 3774193 ; 4309104 ; 3768009 ; 3767997 ; 3767999 ; 3768005 ; 3774196 ; 4309105 ; 3768001 ; 3768003 ; 4309101 ; 3768007 ; 3767990 ; 3767995 ; 3774197 ; 3774205 ; 4309205 ; 3774199 ; 3774202 ; 4309100 ; 3774186 ; 4309102 ; 3774189 ; 4309103 ; 3768401";Картридж турбины (отбалансированный) HOLSET HE211W;;4;7 129,00
01-00064044;MSG;01-06-001;"JEEP ; MERCEDES-BENZ";"VV14 ; VF40A132 ; A6460960199 ; A6460960699 ; 6460960699 ; 6460960199 ; RHF4-003";Картридж турбины (отбалансированный) IHI RHF4 JEEP GRAND CHEROKEE II (WJ, WG) 01-05;"1000-040-111 ; RHF4-003";1;8 744,00
